id,reference,hypothesis,BLEU,chrF++
1921,दुसऱ्या बाजूला बर्फ आणि हिम असण्याची परिस्थिती अनेक देशांमध्ये सामान्य आहे आणि वर्षभर कोणत्याही अडथळ्याशिवाय रहदारी सुरू असते,"दुसरीकडे, अनेक देशांमध्ये बर्फाचे आणि बर्फाचे वातावरण सामान्य आहे आणि वाहतूक वर्षभर जवळजवळ अखंडपणे सुरू असते.",12.5122,38.7121
1923,या नाकेबंदीने गेल्या दोन शतकांमधील अनेक आंतरराष्ट्रीय करारांनी संहिताबद्ध केलेल्या साधारणपणे स्वीकारल्या जाणाऱ्या आंतरराष्ट्रीय कायद्यांचे उल्लंघन केले असले तरी ही रणनीती महत्त्वपूर्ण सैन्य आणि नागरी पुरवठा कमी करून प्रभावी ठरली,"या धोरणामुळे लष्करी आणि नागरी पुरवठा प्रभावीपणे बंद झाला, जरी या नाकेबंदीने गेल्या दोन शतकातील अनेक आंतरराष्ट्रीय करारांद्वारे संहित केलेल्या सर्वसाधारणपणे स्वीकारलेल्या आंतरराष्ट्रीय कायद्याचे उल्लंघन केले.",14.2942,56.1139
2003,हॉंग कॉंगची सर्वोत्तम दृश्ये मिळवण्यासाठी बेट सोडून कोवलून धबधब्याच्या विरुध्द बाजूला जा,"हाँगकाँगचे सर्वोत्तम दृश्ये मिळविण्यासाठी, बेट सोडून कोह्लूनच्या समोरच्या किनारपट्टीवर जा.",10.1280,43.2387
1694,लहान मुलांना अनेक कारणांसाठी संगोपन केंद्रात ठेवले जाते ज्यामध्ये दुर्लक्ष छळ आणि अगदी खंडणी यांसारखी अनेक कारणे आहेत,"मुलांना विविध कारणांमुळे पालकत्वामध्ये ठेवले जाते, जे दुर्लक्ष, गैरवर्तन आणि अगदी जबरदस्तीने देखील होते.",6.7496,32.1164
1823,रहदारीचा प्रवाह हा २ बिंदूंमधील वैयक्तिक चालक आणि वाहनांची हालचाल आणि ते एकमेकांशी साधत असलेले संवाद यांचा अभ्यास आहे,ट्रॅफिक फ्लो हा दोन बिंदूंमधील वैयक्तिक ड्रायव्हर्स आणि वाहनांच्या हालचालींचा आणि ते एकमेकांशी केलेल्या परस्परसंवादाचा अभ्यास आहे.,11.8361,50.5765
1822,मोरोक्कन सुलतानाने दारू-इ-बड्या या नावाने शहर पुन्हा वसवले आणि तिथे आपले व्यापारी तळ तयार केलेल्या स्पॅनिश व्यापाऱ्यांनी त्याला कासाब्लँका असे नाव दिले,मोरोक्कन सुलतानने दारू इबादिया म्हणून शहराची पुनर्बांधणी केली आणि स्पॅनिश व्यापाऱ्यांनी त्याला कॅसाब्लांका असे नाव दिले ज्याने तेथे व्यापार तळ स्थापन केले.,11.4084,47.3897
1943,जितका तणाव कमी तितकी सकारात्मक जीवन उर्जा अस्तित्वात असते प्रत्येक व्यक्तीकडे संपूर्ण शांती आणि समाधान मिळवण्याची क्षमता असते,तणाव कमी झाल्याने जीवनाची शक्ती अधिक सकारात्मक होते. प्रत्येक व्यक्तीला पूर्ण शांतता आणि समाधानी होण्याची क्षमता असते.,6.5858,45.5236
1956,मोठ्या प्रमाणावर लोक आणि सामान यांना महासागरातून वाहून नेण्याकरिता जहाजांचा वापर हाच सर्वात सक्षम असा मार्ग आहे,मालवाहतूक करण्यासाठी जहाजांचा वापर करणे हा महासागरावर मोठ्या प्रमाणात लोक आणि वस्तू हलवण्याचा सर्वात कार्यक्षम मार्ग आहे.,7.9946,46.3404
1719,तीव्र हवामान ही संज्ञा कोणत्याही अशा धोकादायक अशा हवामान घटनांना सहसा दिली जाते ज्यामध्ये नुकसान करण्याची गंभीर सामाजिक व्यत्यय आणण्याची किंवा मानवी जीवनाला इजा करण्याची क्षमता असते,"गंभीर हवामान हे कोणत्याही धोकादायक हवामान घटनेसाठी सामान्य शब्द आहे ज्यामुळे नुकसान, गंभीर सामाजिक गोंधळ किंवा मानवी जीवनाचे नुकसान होण्याची शक्यता आहे.",4.8097,37.6100
1689,युरोप हा खंड तुलनेने लहान आहे परंतु त्यात अनेक स्वतंत्र देश आहेत सामान्य परिस्थितीत अनेक देशांतून प्रवास करणे म्हणजे अनेक वेळा व्हिसा अनुप्रयोग आणि पासपोर्ट नियंत्रणाद्वारे जाणे होय,"युरोप हा एक तुलनेने लहान खंड आहे, परंतु अनेक स्वतंत्र देश आहेत. सामान्य परिस्थितीत, अनेक देशांमधून प्रवास केल्यास व्हिसा अर्ज आणि पासपोर्ट नियंत्रण अनेक वेळा करावे लागेल.",14.3476,58.0999
1810,कॅलिफोर्नियाचे राज्यपाल अर्नोल्ड श्वार्झनेगर यांनी अल्पवयीन मुलांना हिंसक व्हिडिओ गेम्सच्या विक्री किंवा भाड्याने देण्यासंबंधीच्या कायदेशीर विधेयकावर स्वाक्षरी केली आहे,कॅलिफोर्नियाचे गव्हर्नर अर्नोल्ड श्वार्झेनेगर यांनी अल्पवयीन मुलांना हिंसक व्हिडिओ गेमची विक्री किंवा भाड्याने देण्यास बंदी घालणाऱ्या विधेयकावर स्वाक्षरी केली.,30.7526,69.6725
1778,दूरदर्शनच्या अहवालांमध्ये झाडांमधून पांढरा धूर येत असल्याचे दाखविले आहे,टेलिव्हिजन अहवालात प्लांटमधून पांढरा धूर येत असल्याचे दिसून आले आहे.,24.8084,49.0889
2006,कॅल्शियम आणि पोटाशियम या सारखी मूलद्रव्ये धातू मानली जातात अर्थातच चांदी आणि सोने यासारखे सुद्धा धातू आहेत,कॅल्शियम आणि पोटॅशियम सारखे घटक धातू मानले जातात. अर्थातच चांदी आणि सोने सारख्या धातू देखील आहेत.,18.1673,51.7292
1805,स्कॉटरब बस ४०३ नियमितपणे सिन्ट्राला जाते काबो दा रोका येथे थांबते,"स्कोपोर्ट बस ४-३ नियमितपणे सेंटरला जाते, कॅबो डी रोका येथे थांबते.",13.6744,47.5078
1890,बहुतांश आधुनिक संशोधन दुर्बिणी सुदूर भागांमध्ये वातावरणीय स्थिती अनुकूल असताना प्रचंड सुविधा देतात,बहुतेक आधुनिक संशोधन दुर्बिणी अनुकूल वातावरणीय परिस्थिती असलेल्या दुर्गम भागात प्रचंड सुविधा आहेत.,14.4589,52.8713
1782,तसेच प्रत्येक राजवंशाच्या दरम्यान विभक्त प्रांताचा एक अस्थिर काळ होता यापैकी सर्वोत्तम ज्ञात कालावधी 3 राजसत्तांचा होता जो हान आणि जिन राजसत्त्यांच्या दरम्यान 60 वर्षांचा होता,"प्रत्येक राजवंशात प्रांतांचे विभाजन होते, यापैकी सर्वात प्रसिद्ध काळ हा तीन साम्राज्यांचा काळ होता, जो हा आणि जिन राजवंश यांच्यात साठ वर्षे चालला.",4.6994,34.9548
1784,ग्रीनलंड हा विरळ वस्तीचा प्रदेश झाला नॉर्स सागास मध्ये ते म्हणतात एरिक द रेड यांना आइसलंड मधून खुनासाठी हाकलून लावले आणि पश्चिमेला थोडा पुढे प्रवास केल्यानंतर त्यांना ग्रीनलंड सापडले आणि त्याला ग्रीनलंड हे नाव मिळाले,ग्रीनलँड हे नॉर्वेजियन गाथांमध्ये कमी प्रमाणात स्थायिक झाले होते. ते म्हणतात की एरिक द रेडला हत्येसाठी आइसलँडमधून हद्दपार करण्यात आले होते आणि जेव्हा तो पश्चिमेकडे प्रवास करत होता तेव्हा त्याने ग्रीनलँड शोधले आणि त्याचे नाव ग्रीनलँड ठेवले.,3.2674,31.7347
1949,बग किडा ही संज्ञा या कीटकांच्या समूहासाठी कीटकशास्त्रज्ञानी औपचारिक दृष्ट्या वापरली आहे,कीटकांच्या या गटासाठी कीटकशास्त्रज्ञांनी औपचारिक अर्थाने कीटक शब्द वापरला आहे.,4.8396,43.3308
1683,इथे अजूनही काही पुरूष व स्त्रिया जिवंत आहेत जे त्यांच्या अस्तित्वासाठी झगडत आहेत तसेच यहूदी आणि गैर-यहूदी सारख्या अनेकांच्या प्रियजनांची हत्या केली गेली किंवा जीवे मारले गेले होते,"आजही अनेक पुरुष आणि स्त्रिया जिवंत आहेत ज्यांनी येथे आपला वेळ टिकवून ठेवला आहे आणि बरेचसे जे प्रेमळ होते ज्यांना तेथे ठार मारण्यात आले किंवा मरण पावले, ज्यू आणि गैर-यहूदी समान.",5.9123,29.8488
1919,शहर आफ्रिकेत जिथे सर्वात स्वस्तात पर्वतीय गोरिलांचा माग काढता येतो अशा जागांपैकी एक असण्यासह नैरागोंगो ज्वालामुखीवर चढाई करण्याचा तळ आहे,आफ्रिकेतील काही स्वस्त माउंटन गोरिल्ला तस्करीसह निरगंगो ज्वालामुखीवर चढण्यासाठीही हे शहर आधार आहे.,2.4347,27.5432
1791,संरचनांवर खुणा किंवा वाक्ये खरडून या स्थळाला विद्रुप करु नका,ग्राफिटीला चिन्हांकित करून किंवा संरचनांमध्ये स्क्रॅच करून साइट नष्ट करू नका.,4.0272,20.7774
1693,परंतु कर्णधाराची विकेट गमावल्यानंतर भारताने डाव समाप्त करण्यासाठी केवळ 7 विकेट गमावत 36 धावा केल्या,पण कॅप्टनची विकेट गमावल्यानंतर भारताने केवळ ३६ धावा केल्या आणि सात विकेट गमावून विजयाचा अंत केला.,11.6439,47.4893
1885,दुपारी 10:00 ते 11:00 च्या दरम्यान एमडीटी यार्डमध्ये कैद्यांनी आग लावली,"रात्री दहा ते अकराच्या दरम्यान, पहाडी वेळेनुसार, अंगणात असलेल्या कैद्यांनी आग लावली.",11.1149,38.9846
1772,तर हे असू शकते की हे नोटेशन फक्त एक लेबल म्हणून लावलेलं असावे,"तर, हे शक्य आहे की नोटेशन फक्त एक लेबल म्हणून जोडले गेले.",29.8995,49.7585
1998,त्यांना खवले आणि नख्या असलेले पाय असतात ते अंडी घालतात आणि ते टी रेक्स प्रमाणे त्यांच्या मागच्या 2 पायावर चालतात,"त्यांचे पाय स्केल आणि नखे आहेत, ते अंडी घालतात आणि ते त्यांच्या मागील दोन पायांवर चालतात जसे टी-रेक्स.",20.7605,45.2694
1857,"""ते पुढे म्हणाले की ""त्यांची विकास अवस्था जबाबदारी आणि क्षमतांहून अधिक उत्तरदायित्वे घेण्यास मात्र त्यांना विचारले जाऊ नये.""""","त्यांनी असेही जोडले की, त्यांना त्यांच्या विकासाच्या टप्प्यापेक्षा, जबाबदारी आणि क्षमतेपेक्षा जास्त जबाबदाऱ्या स्वीकारण्यास सांगितले जाऊ नये.",8.3903,32.8178
1761,वयोवृद्ध महिलेला प्रसाधनगृहात जायचे असल्याने फोटोग्राफरनी तिची जागा घेतली मेंडोझाला गोळी घालण्यात आली होती,नंतर फोटोग्राफरने एका वृद्ध महिलेची जागा घेतली कारण तिला शौचालयाची गरज होती. मेन्डोझाला गोळी मारण्यात आली.,5.4012,41.8359
1702,अवघ्या दोन आठवड्यांमध्ये अमेरिकन आणि फ्रान्सचे मुक्त सैन्य दक्षिणेकडीक फ्रान्सला मुक्त करून जर्मनिच्या दिशेने वळले होते,"फक्त दोन आठवड्यांत, अमेरिकन आणि फ्री फ्रेंच सैन्याने दक्षिणेकडील फ्रान्स मुक्त केले होते आणि जर्मनीकडे वळत होते.",5.0912,40.1585
1746,झाडे त्यांचे अन्न सूर्यापासून प्रकाशसंश्लेषणद्वारे तयार करतात ते सावलीही देतात,"वनस्पती प्रकाशसंश्लेषणाद्वारे सूर्यापासून अन्न बनवतात, ते सावली देखील देतात.",5.3002,43.5958
1907,शत्रुत्वाच्या उद्रेकानंतर ब्रिटनने लगेचच जर्मनीच्या नौदलाची नाकेबंदी सुरू केली,युद्धाच्या प्रारंभानंतर लवकरच ब्रिटनने जर्मनीवर नौदल नाकेबंदी सुरू केली.,16.7845,43.8001
1769,तिसऱ्या शतकात इ.स.पू. इजिप्शियन लोकांनी निर्माण केलेले ग्रेट पिरॅमिड हे मृत फराओहच्या सन्मानार्थ निर्माण केलेल्या अनेक मोठ्या पिरॅमिड रचनांपैकी 1 आहे,"इजिप्शियन लोकांनी इ. स. पू. तिसऱ्या शतकात बांधलेले, ग्रेट पिरामिड हे मृत फारोच्या सन्मानार्थ बांधलेल्या अनेक मोठ्या पिरामिड संरचनांपैकी एक आहे.",26.7458,55.8724
1788,युएसए जिम्नॅस्टिक्सने युनायटेड स्टेट ऑलिम्पिक कमिटीच्या पत्राला पाठिंबा दर्शवला आहे आणि आपल्या सर्व ॲथलेटसाठी सुरक्षित वातावरणाचा प्रचार करण्याची ऑलिम्पिक कुटुंबाची आवश्यकता मान्य केली आहे,यूएसए जिम्नॅस्टिक युनायटेड स्टेट्स ऑलिम्पिक कमिटीच्या पत्राला पाठिंबा देते आणि आमच्या सर्व खेळाडूंसाठी सुरक्षित वातावरणास प्रोत्साहन देण्यासाठी ऑलिम्पिक कुटुंबाची पूर्ण गरज स्वीकारते.,13.3364,53.2087
1801,व्हिक्टोरिया हार्बरच्या पाण्यामुळे ठळक झालेल्या हाँगकाँगमधील गगनचुंबी इमारतींच्या देखाव्याची तुलना चमचमणाऱ्या बार चार्टबरोबर करण्यात आली आहे,हाँगकाँगच्या क्षितिजावर असलेल्या इमारतींची परेड व्हिक्टोरिया हार्बरच्या योद्ध्यांच्या उपस्थितीमुळे स्पष्ट झालेल्या चमकदार बार चार्टशी तुलना केली गेली आहे.,5.3286,40.8595
1861,परिणामी कलाकार स्टेजवर गांजाचा धूर करतात आणि थिएटर स्वतःच प्रेक्षकांना त्यात सामील होण्यासाठी प्रोत्साहित करत आहे,"परिणामी, कलाकार स्टेजवर गांजाचे धूम्रपान करतात आणि थिएटर स्वतः प्रेक्षकांना सामील होण्यासाठी प्रोत्साहित करत आहे.",32.9341,74.8547
1996,ओस्ट्रेलियाचा मिशेल गॉर्ले पुरुषांच्या उभ्या सुपर-जी मध्ये अकराव्या क्रमांकावर आला चेकचा प्रतिस्पर्धी ओल्डरिच जेलीनेक पुरुषांच्या बैठ्या सुपर-जीमध्ये सोळाव्या क्रमांकावर आला,"ऑस्ट्रेलियातील मिशेल गॅलोरी पुरुषांच्या स्टँडिंग सुपर-जीमध्ये अकराव्या क्रमांकावर, शतरंज स्पर्धक उलरिक जोक्लिन पुरुषांच्या बसलेल्या सुपर-जीमध्ये सोळाव्या क्रमांकावर राहिला.",10.0790,54.3372
1697,खेळामध्ये बंदी असल्यामुळे त्याला त्याच्या दुखण्यावर मात करणारी औषधे घेता आली नाहीत,त्याला त्याच्या वेदनांवर मात करण्यासाठी आवश्यक असलेली औषधे घेण्यास असमर्थता होती कारण त्यांना खेळांवर बंदी घालण्यात आली आहे.,5.3286,39.2655
1962,चाचणी केलेल्या रसायानामध्ये असलेल्या हायड्रोजनच्या ph मधील h आयनांचे प्रमाण ph स्तराद्वारे दर्शवले जाते,"पीएच पातळी हायड्रोजन, एच आणि पीएच आयन आणि चाचणी केलेल्या रसायनाच्या प्रमाणात दर्शविली जाते.",5.4130,32.4408
1847,सिंगापूरच्या उपपंतप्रधान वोंग कान सेंग यांनी त्यांचे स्वागत केले तसेच त्यांनी सिंगापूरच्या पंतप्रधान ली हिसियन लूंग यांच्याशी व्यापार आणि दहशतवादाच्या मुद्द्यांवर चर्चा केली,सिंगापूरचे उपपंतप्रधान वोंग काईंग सेंग यांनी त्यांचे स्वागत केले आणि सिंगापूरचे पंतप्रधान ली हसीन लॉंग यांच्याबरोबर व्यापार आणि दहशतवादाच्या मुद्द्यांवर चर्चा केली.,40.6011,69.5567
1932,दृश्यमान होताच 5 मिनिटामध्येच वारा वेगाने वाहू लागतो जवळपास एका मिनिटानंतर वाऱ्याचा वेग 70किमी/तास पर्यंत पोहोचतो.. आणि नंतर पाउस येतो इतक्या जोराचा आणि मोठा की तो तुमच्या त्वचेला सुईप्रमाणे टोचतो मग आकाशातून गारा कोसळू लागतात लोक घाबरतात किंचाळू लागतात आणि सैरावैरा एकमेकांच्या अंगावर धावू लागतात,"पाच मिनिटांनंतर, वारा सुरू होतो. सुमारे एक मिनिटानंतर, वारा 70 किमी प्रति तास पोहोचतो. मग पाऊस येतो, पण इतका जोरदार आणि इतका मोठा की तो तुमच्या त्वचेला सुईसारखा मारतो. मग आकाशातून गारपीट पडली. लोक घाबरत आणि ओरडत आणि एकमेकांवर धावत.",10.6296,34.1340
1850,यामुळे 802.11 a 802.11 b आणि 802.11 g सोबत तुल्यक्षम होण्यास त्याला मागे जाता येईल तथापि बेस स्टेशनमध्ये दुहेरी रेडियोज आहेत,"हे 8 0 2 1 A, 8 0 2 1 B आणि 8 0 2 1 G याच्याशी मागे सुसंगत असेल, जर बेस स्टेशनला दुहेरी रेडिओ असेल.",1.7557,22.8519
1700,ते मारियाजवळील भागात बारीक आणि उंचवट्याच्या भागात जाड आहे,हे मुरियाच्या खाली पातळ आहे आणि हाईलँड्सच्या खाली जाड आहे.,8.2952,25.1314
1727,हिंस्त्र मुलांना त्यांना सोडून देण्याच्या किंवा ते पळून जाण्याच्या आधी बऱ्याच प्रमाणात बाल हिंसाचार किंवा मानसिक धक्का यांना सामोरे जाण्याची शक्यता असते,जंगली मुलांनी सोडून जाण्यापूर्वी किंवा पळून जाण्यापूर्वी गंभीर बाल अत्याचार किंवा आघात अनुभवला असेल.,2.4643,23.3497
1984,मोठ्या प्रमाणात कार मालकीमुळे देखील रस्त्यावर अपघातांचे प्रमाण जास्त होते जखमी झालेले मृतदेह दुरुस्त करण्यासाठी आरोग्य सेवेत नवीन तंत्रज्ञानांचा शोध घ्यावा लागतो,"मोठ्या प्रमाणात कार मालकीमुळे रस्त्यावरील अपघातांची संख्या वाढते, ज्यामुळे खराब झालेल्या शरीरांची दुरुस्ती करण्यासाठी आरोग्यसेवेतील नवीन तंत्रांचा शोध लावला जातो.",12.4367,48.7088
1853,जानकार्लो फिसिकेलाचा गाडीवरील ताबा सुटला आणि शर्यत सुरू झाल्यावर लगेचच संपली,जियानकार्लो फिझिसिचेललाने आपल्या कारवर नियंत्रण गमावले आणि स्टार्ट झाल्यानंतर लवकरच रेस संपवली.,3.0891,23.5958
1694,लहान मुलांना अनेक कारणांसाठी संगोपन केंद्रात ठेवले जाते ज्यामध्ये दुर्लक्ष छळ आणि अगदी खंडणी यांसारखी अनेक कारणे आहेत,"दुर्लक्ष, गैरवर्तन आणि अगदी छळ यासारख्या विविध कारणांमुळे मुलांना पालकत्वाच्या देखरेखीखाली ठेवले जाते.",6.9995,32.0876
1878,एक हजार वर्षांहून अधिक काळ चर्चचा केंद्रीय अधिकार रोममध्ये होता तसेच सत्ता आणि पैशांच्या या केंद्रीकरणामुळे अनेकांना हा प्रश्न पडला की हा सिद्धांत अस्तित्वात होता का,चर्चचे मुख्य अधिकार हजार वर्षांहून अधिक काळ रोममध्ये होते आणि शक्ती आणि पैशाच्या या एकाग्रतेमुळे अनेकांना हा सिद्धांत पूर्ण होत आहे की नाही याबद्दल प्रश्न विचारला गेला.,12.7534,47.2499
1692,जपानच्या अणू एजन्सी नुसार प्रकल्पामध्ये किरणोत्सारी सिजीयम आणि आयोडीन आढळून आलेले आहे,"जपानच्या अणुसंस्थेच्या मते, या प्लांटमध्ये रेडिओअॅक्टिव्ह कॅसियम आणि आयोडीनची ओळख पटली आहे.",3.7374,28.0003
1797,प्रत्येकजण समाजात सहभागी होतो आणि वाहतुक यंत्रणांचा वापर करतो जवळपास प्रत्येकजण वाहतूक यंत्रणांबाबत तक्रार करतो,प्रत्येकजण समाजात भाग घेतो आणि वाहतूक प्रणालीचा वापर करतो. जवळजवळ प्रत्येकजण वाहतूक प्रणालीबद्दल तक्रार करतो.,9.4212,54.4463
1912,बहुतांश अधिक लहान बेटे स्वतंत्र राष्ट्रे आहेत किंवा फ्रान्ससोबत सहयोगी आहेत आणि त्यांना लक्झरी बीच रिसॉर्ट्स म्हणतात,बहुतेक लहान बेटे स्वतंत्र राष्ट्रे आहेत किंवा फ्रान्सशी संबंधित आहेत आणि लक्झरी बीच रिसॉर्ट्स म्हणून ओळखले जातात.,36.6151,66.1685
1711,हे सिद्धांत हे अशा लोकांच्या बाबत पाहण्यासाठी आहे कि नेमक काही लोक ज्या गोष्टी करतात ज्या त्यांना कराव्या वाटतात आणि त्यांच्या वातावरणातील कोणत्या गोष्टी त्यांना त्या करू देतात आणि काही गोष्टी करू देत नाहीत,या सिद्धांतांमध्ये काही लोकांबद्दल काय आहे हे पाहिले जाते जे त्यांना ते करतात त्या गोष्टींची इच्छा करते आणि त्यांच्या वातावरणातील काय गोष्टी त्यांना काही गोष्टी करू किंवा करू देत नाहीत.,11.2557,49.4068
1913,वाघाची डरकाळी एखाद्या सिंहाच्या पूर्ण आवाजातील डरकाळीसारखी नसते परंतु फेंदारून ओरडून उच्चारलेल्या शब्दांच्या वाक्यासारखी अधिक असते,वाघचा गर्जन हा सिंहाच्या जोरदार गर्जनासारखा नाही तर एका गोंगाट करणाऱ्या शब्दांच्या वाक्यासारखा आहे.,2.9236,27.5613
1787,ब्लॉगिंग हे एक असे साधन आहे जे सहकार्य करण्यास प्रेरित करते आणि विद्यार्थ्यांना पारंपारिक शालेय दिवसाच्या पलीकडे शिक्षणाचा विस्तार करण्यास प्रोत्साहित करते,ब्लॉगिंग हे एक साधन आहे जे सहकार्याला प्रेरित करते आणि विद्यार्थ्यांना पारंपारिक शालेय दिवसाच्या पलीकडे शिकण्यास प्रोत्साहित करते.,45.7740,75.3706
1977,प्राइड हा एक ते तीन संबधित प्रौढ नर त्याचबरोबर जास्तीत जास्त तीस माद्या आणि छावे यांनी बनलेला असतो,"प्राइड्स एक ते तीन संबंधित प्रौढ पुरुषांनी बनलेले असतात, तसेच तीस मादी आणि पिल्ले असतात.",9.5454,35.4082
1667,"""साधारणत: जेव्हा व्यवस्थापक त्यांच्या आधीच्या सहकार्यांचे व्यवस्थापन करण्यास सुरुवात करतात तेव्हा २ प्रकारची वर्तने समोर येऊ शकतात. स्पेक्ट्रमच्या एका टोकावरील लोक ""त्या मुलांपैकी एक"" किंवा मुलींपैकी राहण्याचा प्रयत्न करतात.","सर्वसाधारणपणे, दोन वर्तन उद्भवू शकतात जसे व्यवस्थापक त्यांच्या माजी समवयस्कांचे नेतृत्व करण्यास सुरवात करतात. स्पेक्ट्रमचा एक शेवट हा एक माणूस किंवा मुलगी राहण्याचा प्रयत्न करीत आहे.",4.2172,39.3017
1669,पोलिस अधीक्षक चंद्र शेखर सोलंकी यांनी सांगितले की आरोपी चेहरा झाकून घेऊन कोर्टात हजर झाला,"पोलिस अधीक्षक चंद्रशेखर सलान्की म्हणाले की, आरोपी न्यायालयात मुखवटा घातलेला दिसला.",6.2994,34.1592
1838,गिझा येथील ग्रेट पिरॅमिड हे सात आश्चर्यांपैकी एक आहे जे आजही उभे आहे,गिझा येथील ग्रेट पिरामिड हे आजही उभे असलेल्या सात चमत्कारांपैकी एक आहे.,17.9965,58.5047
1832,लोकप्रिय खेळांमध्ये फूटबॉल बास्केटबॉल वॉलिबॉल वॉटर-पोलो फेन्सिंग रग्बी सायकलिंग आईस हॉकी रोलर हॉकी आणि f1 मोटर रेसिंग या खेळांचा समावेश आहे,"लोकप्रिय खेळांमध्ये फुटबॉल, बास्केटबॉल, व्हॉलीबॉल, वॉटरपोल, फेंसिंग, रग्बी, सायकलिंग, आइस हॉकी, रोलर हॉकी आणि एफ-१ मोटर रेसिंग यांचा समावेश आहे.",8.6896,55.5566
1991,युरोपिय इतिहासाच्या या कालावधीत कॅथॉलिक चर्च जे समृद्ध आणि शक्तिशाली बनले होते त्याची छाननी सुरु झाली,"युरोपियन इतिहासाच्या या काळात कॅथोलिक चर्च, जे श्रीमंत आणि शक्तिशाली झाले होते, त्याची तपासणी करण्यात आली.",6.8094,45.6814
1776,"""संपूर्ण रात्रीमध्ये १५० आणि २०० प्रति तयार करण्यात आल्या त्याला आता ""डनलॅप ब्रॉडसाइड"" म्हणून ओळखले जाते.","रात्रीच्या दरम्यान, शंभर पन्नास ते दोनशे प्रती बनवल्या गेल्या, ज्या आता बन्लाप ब्रॉडसाइड्स म्हणून ओळखल्या जातात.",2.5277,27.4841
1809,ट्रॅक्स जागेवर ठेवण्यासाठी क्रॉसटीज खूप लवकर सुरू करण्यात आल्या होत्या तथापि हळूहळू हे समजले की जर ट्रॅक्सवर लोखंडी स्तर असेल तर अधिक कार्यक्षम होतील,"ट्रॅकला स्थिर ठेवण्यासाठी क्रॉस टाईजची सुरुवात लवकर झाली, परंतु हळूहळू हे लक्षात आले की ट्रॅक अधिक कार्यक्षम असतील जर त्यांच्या वरच्या बाजूला लोखंडी स्टिप असेल.",4.9359,40.9828
1693,परंतु कर्णधाराची विकेट गमावल्यानंतर भारताने डाव समाप्त करण्यासाठी केवळ 7 विकेट गमावत 36 धावा केल्या,पण कर्णधारची विकेट गमावल्यानंतर भारताने केवळ ३६ धावा केल्या आणि सात विकेट गमावून पारी संपवली.,12.4516,50.4999
1878,एक हजार वर्षांहून अधिक काळ चर्चचा केंद्रीय अधिकार रोममध्ये होता तसेच सत्ता आणि पैशांच्या या केंद्रीकरणामुळे अनेकांना हा प्रश्न पडला की हा सिद्धांत अस्तित्वात होता का,चर्चचे मुख्य अधिकार हजार वर्षांहून अधिक काळ रोममध्ये होते आणि शक्ती आणि पैशांच्या या एकाग्रतेमुळे अनेकांना हा सिद्धांत पूर्ण होत आहे की नाही याबद्दल प्रश्न विचारला गेला.,15.6397,50.5641
1730,आंतरजिल्हा बस स्थानकातून नदीच्या पलीकडे दिवसभर अनेक बसेस बाहेर पडतात तरी देखील विशेषत: पूर्ण दिशेला आणि जकार/बुम्थांगला जाणाऱ्या बसेस या बहुतांश 06:30 ते 07:30 या दरम्यान निघतात,"इंटरडिस्ट्रिक्ट बस स्टेशनवरून दिवसभर नदीच्या पलीकडे बस निघतात, जरी बहुतेक, विशेषतः पूर्वेकडे जाणारे आणि जकार बुथांग सहा आणि साडेसात दरम्यान निघतात.",3.8608,30.2725
1696,दोन्ही संयुगे क्रिस्टल्स तयार करण्यासाठी एकमेकांशी प्रतिक्रिया करतात ज्यामुळे मूत्रपिंडाच्या कार्यात अडथळा येऊ शकतो असे विद्यापीठाच्या संशोधकांनी सांगितले आहे,"दोन्ही संयुगे एकमेकांशी प्रतिक्रिया देऊन क्रिस्टल्स तयार करतात जे किडनी फंक्शन अवरोधित करू शकतात, विद्यापीठाच्या संशोधकांनी सांगितले.",12.8037,53.8273
